name,birthdate,bio,area,employer,headcount,Уровень образования,Профессиональные навыки,Личные качества,Знание языков,Категории водительских прав,Обязанности,Курсы и сертификаты
Учитель казахского языка и литературы,,,,,,высшее,Моделирование урока;Преподавание предметов на казахском языке;Ведение учебной документации;Работа с обучаемыми;Владение современными технологиями и методиками преподавания,Ответственность;Пунктуальность;Самостоятельность и ответственность;Стрессоустойчивость;Терпеливость;Гибкость мышления;Умение быстро принимать решения;Целеустремленность;Аккуратность;Вежливость;Работа в MS Office,,,,
Врач общей практики,,,,,,послевузовское,"Оказание квалифицированной, скорой и других видов медицинской помощи",Ответственность,,,,
Сторож,от 110 000 тенге,,,,,общее среднее (с 1 по 11/12 классы),Надзор за сохранностью имущества;Надзор за сохранностью сооружений;Охрана производителей,Адаптивность,,"B, C",,
Web-разработчик,от 900 000 тенге,,,,,общее среднее (с 1 по 11/12 классы),Кодирование и реализация web-ресурса,Адаптивность;Ответственность,,B,,
Администратор офиса,от 250 000 тенге,,,,,общее среднее (с 1 по 11/12 классы),Организация документооборота,Ответственность,,,,
Учитель начальных классов,от 250 000 тенге,,,,,техническое и профессиональное,Работа с обучаемыми;Организация учебно-воспитательного процесса;Разработка обучающих программ;Определение  четких  целей  уроков;Обеспечение методического сопровождения педагогического процесса;Проведение занятия для творческого развития детей,Адаптивность;Ответственность;Пунктуальность;Самостоятельность и ответственность;Сотрудничество и взаимодействие;Терпеливость;Умение работать в команде;Целеустремленность;Дисциплинированность;Аккуратность;Аналитическое мышление;Вежливость;Доброжелательность;Выносливость и усердие;Письменные коммуникативные навыки;Устные коммуникативные навыки;Концентрация и управление вниманием;Поиск и анализ информации;Проектное мышление;Добропорядочность,,,,
SMM-менеджер,от 240 000 тенге,,,,,общее среднее (с 1 по 11/12 классы),"Разработка маркетинговых мероприятий для продвижения товара;Проведение переговоров и формирование коммерческих документов и соглашений;Информирование о маркетинговых акциях, продуктах и специальных предложений;Умение продвигать товары и услуги",Адаптивность;Ответственность,,,,
Учитель технологии,от 300 000 тенге,,,,,высшее,Развитие творческих способностей учащихся;Преподавание предметов на русском языке;Планирование учебного занятия;Моделирование урока;Наставничество и обучение,Адаптивность;Ответственность;Пунктуальность;Самостоятельность и ответственность,Казахский - высокий уровеньРусский - высокий уровеньАнглийский - начальный уровень,B1,,"Сертификат GDP-Надлежащая дистрибьюторская практикаGDP–этоодна из систем контроля качества, обеспечивающая качество фармацевтической продукции, которое гарантируется соответствующим контролем действий, совершаемых в ходе дистрибуции, а также инструмент, обеспечивающий защиту организации от фальсифицированных, недоброкачественных и незаконных копий лекарственных средств и изделий медицинского назначения.Сертификат Бухгалтера-Можно назвать такие обычные для бухгалтера обязанности как:работа с первичными документами (прием, составление, обработка и т.д.);ведение бухгалтерского учета (фиксация на счетах бухучета операций, имущества и обязательств);начисление заработной платы работникам и исчисление налогов с зарплаты;ведение кадрового учета;оформление расчетов с контрагентами;начисление и перечисление налогов;подготовка и сдача бухгалтерской и налоговой отчетности и.т.д.Курс Дизайнер интерьераДизайнер интерьера — это специалист, который занимается разработкой эстетически привлекательных, функциональных и удобных интерьерных решений для жилых и коммерческих помещений. Это творческая и практическая деятельность, связанная с созданием и преобразованием внутреннего пространства. Цель дизайнера интерьера - создать интерьер, который отвечает требованиям и предпочтениям клиента, а также соответствует их бюджету."
Подсобный рабочий,от 100 000 тенге,,,,,общее среднее (с 1 по 11/12 классы),Предотвращение проникновения инфекции в растения;Уход за растениями во время  вегетации,Адаптивность,,,,
Водитель автомобиля,,,,,,высшее,Безопасное управление различными машинами;Ремонт и замена частей автомобиля;Умение водить автомобиль;Осмотр легкового автомобиля и подготовка к поездке;Перевозка пассажиров и багажа;Знание правил дорожного движения,Адаптивность;Самостоятельность и ответственность;Стрессоустойчивость,,B,,
Учитель казахского языка и литературы,от 250 000 тенге,,,,,высшее,Работа с обучаемыми;Моделирование урока;Ведение учебной документации;Преподавание предметов на казахском языке;Агрохимические приемы возделывания культур;Выращивание высококачественных сортов семян,Ответственность;Пунктуальность,Казахский - высокий уровеньРусский - продвинутый уровеньАнглийский - начальный уровень,,,"""Цифрлық сауаттылық негіздері және ААЖ-да жұмыс істеу Кundelik.kz ҚР жалпы білім беретін мектептерінің мұғалімдері үшін"" тақырыбы бойынша 72 сағат көлемінде біліктілікті арттыру онлайн-курсы, ""Күнделік ЖШС"" 07.10.2022ж.""Мектептегі ""Қазақ тілі"" мен ""Қазақ әдебиеті"" сабақтары: басымдықтар және жетілдіру стратегиялары"" білім беру бағдарламалары бойынша 120 академиялық сағат көлеміндегі курс, ПШО, 06.06.2022ж.""Педагогикалық цифрлық құзырлығын дамыту"" ""Өрлеу БАҰО"" 18.09.2021ж.Сертификат: ""Цифрлық сауаттылық"" 04.06.2021ж.Қазақстан Республикасында білім беру мазмұнын жаңарту шеңберінде орыс тілді мектептердегі ""Қазақ тілі мен әдебиеті"" пәні бойынша педагог кадрлардың біліктілігін арттыру білім беру бағдарламасы бойынша 160 академиялық сағат көлеміндегі оқу курсы, ""Өрлеу БАҰО""  қараша 2020ж.""Мүмкіндігі шектеулі балалармен жұмыс"" тақырыбындағы 72 сағаттық оқу курсы, 02.10.2020ж.""Білім беру мазмұнын жаңарту жағдайында қазақ тілі мен әдебиеті пәні бойынша оқыту процесін жобалау"" тақырыбындағы 36 сағат көлеміндегі біліктілікті арттыру оқу курсы, ""Өрлеу БАҰО"" 04.10.2019ж.""Қазақ тілі мен әдебиеті мамандығынан ""Өзге ұлт өкілдеріне қазақ тілі мен әдебиеті оқыту әдістемесі"" тақырыбындағы 72 сағат көлеміндегі оқу курсы,  ОҚМПУ, ""ЮКГУ"" жауапкершілігі шектеулі серіктестігі, 31.05.2019ж."
Тренер-преподаватель по спорту,от 750 000 тенге,,,,,высшее,Планирование тренировочного процесса;Оказание первой медицинской помощи;Владение методикой обучения военной подготовки;Моделирование учебно-тренировочных занятий,"Ответственность;Пунктуальность;Самостоятельность и ответственность;Сотрудничество и взаимодействие;Стрессоустойчивость;Терпеливость;Умение быстро принимать решения;Умение работать в команде;Дисциплинированность;Эмоциональный интеллект;Аналитическое мышление;Вежливость;Устные коммуникативные навыки;Письменные коммуникативные навыки;Мотивированность;Навык ведения переговоров;Наставничество (менторинг, коучинг);Проектное мышление;Добропорядочность;Тайм-менеджмент;Лидерство;Логическое мышление;Многозадачность",,"A, B",,
Горничная,от 200 000 тенге,,,,,общее среднее (с 1 по 11/12 классы),"Уборка общественных зон и служебных помещений;Стирка и глажка белья и мелкий ремонт;Контроль качества уборки и комплектации номеров, общественных помещений;Работа по обслуживанию гостей в номера;Уборка номерного фонда отеля после выезда гостей;Генеральная уборка номерного фонда;Текущая уборка номерного фонда отеля",Адаптивность;Ответственность;Пунктуальность;Самостоятельность и ответственность;Системное мышление;Сотрудничество и взаимодействие;Стрессоустойчивость;Терпеливость;Гибкость мышления;Умение быстро принимать решения;Умение работать в команде;Управление изменениями;Целеустремленность;Дисциплинированность;Аккуратность;Вежливость;Доброжелательность;Выносливость и усердие;Способность к обучению и самообучению;Творчество и креативность;Знание продукта;Контроль рабочих процессов;Логическое рассуждение;Проведение опросов и исследований;Проведение обзоров и мониторинг цен;Работа в MS Office;Работа в условиях неопределенности,,,,
Учитель казахского языка и литературы,от 300 000 тенге,,,,,высшее,Работа с обучаемыми;Ведение учебной документации;Преподавание предметов на казахском языке,Ответственность;Самостоятельность и ответственность;Терпеливость;Умение работать в команде;Аккуратность,Казахский - высокий уровень,,,
name,birthdate,bio,area,employer,headcount,Тип занятости,График работы,Условия труда,Стажировка,Опыт работы,Образование,Рабочих мест,Обязанности,Профессиональные навыки,Личные качества,Знание языков,Регион,Место работы,Категории водительских прав,Требования к квалификации
https://enbek.kz/ru/vacancy/armaturshchik-armaturshchik-(stroitelno-montazhnye-i-stroitelno-remontnye-raboty)~4029995,Вакансия опубликована 21.06.2024,Арматурщик (строительно-монтажные и строительно-ремонтные работы),от 85 000 тенге,Строительство и архитектура,"Строительство нежилых зданий, за исключением стационарных торговых объектов категорий 1, 2","Товарищество с ограниченной ответственностью ""Golden City DS""",Количество работников: 200,временная,полный рабочий день,нормальные,Не предполагается,Опыт не требуется,   общее среднее (с 1 по 11/12 классы),3,,Проведение строительных и ремонтных работ;Проведение строительно-монтажных работ;,Ответственность;Самостоятельность и ответственность;,"г. Алматы, Медеуский район",ул.Брюсова 20,,,
https://enbek.kz/ru/vacancy/diktor-vokzal-almaty---2---vneklassnyi-almatinskoe-otdelenie-magistralnoi-seti-filial-ao-%C2%ABnk-%C2%ABktzh%C2%BB---%C2%ABdirekciya-magistralnoi-seti%C2%BB-diktor~4029943,Вакансия опубликована 21.06.2024,Диктор,от 85 000 тенге,Деятельность грузового железнодорожного транспорта,Деятельность грузового железнодорожного транспорта,"Филиал акционерного общества ""Национальная компания Қазақстан темір жолы"" Алматинское отделение магистральной сети""",Количество работников: 317,постоянная,полный рабочий день,нормальные,,Опыт не требуется,  послесреднее,1,"Должностные обязанности:при вступлении на дежурство, ознакомление с оперативной обстановкой на вокзале, с руководящими документами (телеграммами, приказами, указаниями и т.д.), текстами объявленийсвоевременное внесение изменений и дополнений в справочно – информационный  и другой вспомогательный материал применяемый в работесвоевременное получение сведений о движении каждого пассажирского и пригородного поезда у дежурного по станции, в течение дежурствачеткое и неоднократное оповещение пассажиров о производстве маневровых работ на путях по команде дежурного по станции (с обязательной записью времени  объявления)обеспечение своевременного исполнения регламента действий работников вокзала по своевременному оповещению пассажиров в случаях задержки (опоздания) поездовнеукоснительное обеспечение передачи любого объявления на государственном и русском языках, на внеклассных вокзалах – на английскомобеспечение регламента объявлений в соответствии с технологическим процессом работы вокзала и регламентом работы диктора по передаче информации пассажирам на вокзалахосуществление контроля за работой радиоаппаратуры и исправностью средств связиведение журнала передачи смены в надлежащем видеведение журнала технических неисправностей оборудовании громкоговорящей связи  и принятие мер по их устранениюобязательное ношение форменной одежды и бейджа в течение дежурствасоблюдение требований кодекса деловой этики при выполнении служебных обязанностейсоблюдение правил внутренного распорядка и установленные режимы труда и отдыхасоблюдение правил охраны труда и техники безопасностисвоевременное информирование руководства вокзала о нестандартных ситуациях, требующих срочного вмешательстваобеспечение своевременного исполнения должностных обязанностей, предусмотренных действующими нормативными правовыми актами, должностной инструкцией и иными локальными актами АО «НК «КТЖ» «Дирекция магистральной сети»ведение мониторинга оперативной информации, предоставляемой Филиалом, работниками вокзалов посредством телефонной связи, в целевых чатах мобильного приложения/мессенджера «WhatsApp», по электронной почте и т.д. просматривание всех сообщений данных чатов, электронной почты и т.д., своевременное ознакомление с информацией и/или поручениями и принятие в работу с отметкой «принято»  и своевременность их исполнения в целевых чатах мобильного приложения/мессенджера «WhatsApp», по электронной почте и т.д., своевременное предоставление ответов и оперативн6ой информации руководству отдела вокзального хозяйства Филиала в целевых чатах мобильного приложения/мессенджера «WhatsApp», по электронной почте и т.д.совмещение должности дежурного по выдаче справок, дежурного по вокзалу при производственной необходимостив течение смены обязаны находиться и не покидать свое рабочее место, в случае отлучения ставить в известность сменного дежурного помощника начальника вокзала, начальника вокзала для произведения замены и не допускать посторонних лиц в служебное помещениесвоевременное прохождение медицинского осмотраКвалификационные требования:Образованиесреднее, знание английского языка на уровне не ниже языка на уровне не ниже ElementaryОпыт работыбез предъявления требований к стажу",,,г. Алматы,,,,
https://enbek.kz/ru/vacancy/povar-povar~4029587,Вакансия опубликована 21.06.2024,Повар,от 85 000 до 85 000 тенге,Проживание и питание,Предоставление социальных услуг без обеспечения проживания пожилым гражданам и инвалидам,"Коммунальное государственное учреждение ""Центр поддержки детей, находящихся в трудной жизненной ситуации"" Управления образования города Алматы","обеспечение приема, кратковременного содержания, адаптация и дальнейшее устройство безнадзорных и беспризорных детей, детей, оставшихся без попечения родителей, несовершеннолетних, направляемых в специальные организации образования, а также детей, находящихся в трудной жизненной ситуации, вследствие жестокого обращения, приведшего к социальной дезадаптации и социальной депривации.",постоянная,полный рабочий день,нормальные,Не предполагается,Опыт не требуется, техническое и профессиональное,1,,Изготовление пищевых продуктов;,Ответственность;,"г. Алматы, Турксибский район","г.Алматы, мкр.Жулдыз, ул.Донентаева,32/1",,,
https://enbek.kz/ru/vacancy/dvornik~4029591,Вакансия опубликована 21.06.2024,Дворник,от 85 000 тенге,Профессии без квалификации,Предоставление социальных услуг без обеспечения проживания пожилым гражданам и инвалидам,"Коммунальное государственное учреждение ""Центр поддержки детей, находящихся в трудной жизненной ситуации"" Управления образования города Алматы","обеспечение приема, кратковременного содержания, адаптация и дальнейшее устройство безнадзорных и беспризорных детей, детей, оставшихся без попечения родителей, несовершеннолетних, направляемых в специальные организации образования, а также детей, находящихся в трудной жизненной ситуации, вследствие жестокого обращения, приведшего к социальной дезадаптации и социальной депривации.",постоянная,полный рабочий день,нормальные,Не предполагается,Опыт не требуется,   общее среднее (с 1 по 11/12 классы),1,,Комплектование отходов;,Ответственность;Терпеливость;Умение работать в команде;,"г. Алматы, Турксибский район",,Русский / высокий уровень,,
https://enbek.kz/ru/vacancy/pedagog-vospitatel-muzhskogo-pola-socialnyi-pedagog-organizacii-obrazovaniya~4029598,Вакансия опубликована 21.06.2024,Социальный педагог организации образования,от 85 000 до 130 000 тенге,Образование и воспитание,Предоставление социальных услуг без обеспечения проживания пожилым гражданам и инвалидам,"Коммунальное государственное учреждение ""Центр поддержки детей, находящихся в трудной жизненной ситуации"" Управления образования города Алматы","обеспечение приема, кратковременного содержания, адаптация и дальнейшее устройство безнадзорных и беспризорных детей, детей, оставшихся без попечения родителей, несовершеннолетних, направляемых в специальные организации образования, а также детей, находящихся в трудной жизненной ситуации, вследствие жестокого обращения, приведшего к социальной дезадаптации и социальной депривации.",постоянная,полный рабочий день,нормальные,Не предполагается,1 год,высшее,1,,Составление и оформление отчетной документации;,Ответственность;,"г. Алматы, Турксибский район","г.Алматы, мкр.Жулдыз, ул.Донентаева,32/1",,,
https://enbek.kz/ru/vacancy/medicinskaya-sestra-yasli-sada-bobek-medicinskaya-sestra-(vysokoi-kvalifikacii)~4029615,Вакансия опубликована 21.06.2024,Медицинская сестра (высокой квалификации),от 157 000 тенге,Медицина и фармацевтика,Основное и общее среднее образование,"Республиканское государственное казенное предприятие ""Национальный научно-практический, образовательный и оздоровительный центр ""Бобек"" Министерства просвещения Республики Казахстан""",Количество работников: 600,постоянная,полный рабочий день,нормальные,Не предполагается,1 год, техническое и профессиональное,1,""">Республиканское государственное казенное предприятие &laquoНациональный научно-практический, образовательный и оздоровительный центр &laquoБобек&raquoМинистерства просвещения Республики Казахстан, 050043, г. Алматы, Бостандыкский район, мкр. &laquoКаргалы&raquo, д.23, ул. 2-я, объявляет конкурс на занятие вакантных должностей.ПЕРЕЧЕНЬ&nbspнеобходимых документов для участия в конкурсе:Собственноручно написанное заявление на имя Генерального директора Центра Файзуллиной Б.В. о допуске к участию в конкурсе с обязательным указанием наименования должности, на которую претендует конкурсант""> Удостоверение личности""> Резюме на государственном (казахском) и русском языках""> Личный листок по учету кадров, заполненный и подписанный участником конкурса с приклеенной фотографией в правом верхнем углу""> Автобиография, написанная в произвольной форме""> Документ об образовании, приложение к документу об образовании, заверенные нотариально""> Документы, подтверждающие наличие трудового стажа, заверенные в установленном порядке (нотариально, либо по месту предыдущей работы)""> Справка о наличии либо отсутствии сведений о совершении коррупционного преступления и/или уголовного правонарушения""> Медицинская справка о состоянии здоровья (форма 075-у)""> Справка с психоневрологической организации""> Справка с наркологической организации.Все документы необходимо отсканировать и в срок&nbsp"">с21 июняпо 05 июля 2024 гола&nbspвключительно&nbspнаправить на электронную почтуСписки прошедших на второй этап (собеседование), дата собеседования, списки прошедших конкурс будут размещены на сайте Центра &laquoБобек&raquo"">Дополнительно дата собеседования будет направлена на указанную претендентом электронную почту.&nbsp"">Требования к участникам конкурса: средне-специальное медицинское образование, сертификат, свидетельство о прохождении повышения квалификации по диетологии, опыт работы не менее 1 года, владение двумя языками (казахским, русским), умелый пользователь ПК, владеющий навыками работы с оргтехникой, интернетом, электронной почтой.Участник конкурса вправе предоставить дополнительную информацию, касающуюся его образования, профессионального уровня и квалификации (копии документов о повышении квалификации, присвоении ученых степеней и званий, научных публикациях, рекомендации от руководства предыдущего места работы и т.п.).Дополнительную информацию о конкурсе можно получить по телефону 8 (727) 299-71-19.&nbsp","Оказание квалифицированной, скорой и других видов медицинской помощи;Оказание лечебно-профилактической помощи;",Самостоятельность и ответственность;Сотрудничество и взаимодействие;Умение быстро принимать решения;Дисциплинированность;Аккуратность;,"г. Алматы, Бостандыкский район","мкр. Каргалы, ул. 2-я (Байкенова), д.23",Казахский / высокий уровеньРусский / высокий уровень,,
https://enbek.kz/ru/vacancy/zamestitel-direktora-po-khozyaistvennoi-rabote-zamestitel-direktora-po-vospitatelnoi-rabote~4029635,Вакансия опубликована 21.06.2024,Заместитель директора по воспитательной работе,от 158 269 до 191 557 тенге,Образование и воспитание,Предоставление социальных услуг без обеспечения проживания пожилым гражданам и инвалидам,"Коммунальное государственное учреждение ""Центр поддержки детей, находящихся в трудной жизненной ситуации"" Управления образования города Алматы","обеспечение приема, кратковременного содержания, адаптация и дальнейшее устройство безнадзорных и беспризорных детей, детей, оставшихся без попечения родителей, несовершеннолетних, направляемых в специальные организации образования, а также детей, находящихся в трудной жизненной ситуации, вследствие жестокого обращения, приведшего к социальной дезадаптации и социальной депривации.",постоянная,полный рабочий день,нормальные,Не предполагается,5 лет,высшее,1,,"Составление программ, бюджетов, планов подготовки и проведения мероприятий;Проведение воспитательных мероприятий;Планирование и проведение исследований образовательной среды;",Ответственность;Пунктуальность;Стрессоустойчивость;Дисциплинированность;,"г. Алматы, Турксибский район","мкр Жулдыз, ул Дунентаева 32/1",Русский / высокий уровень,,
https://enbek.kz/ru/vacancy/vrach-terapevt-dnevnogo-stacionara-vrach-terapevt~4029658,Вакансия опубликована 21.06.2024,Врач-терапевт,от 280 000 тенге,Медицина и фармацевтика,Общая врачебная практика,"Коммунальное государственное предприятие на праве хозяйственного ведения ""Городская поликлиника №6"" Управления общественного здравоохранения города Алматы",Количество работников: 270,постоянная,полный рабочий день,нормальные,Не предполагается,2 года,высшее,1,,"Контроль за оказанием медицинской помощи;Оказание квалифицированной, скорой и других видов медицинской помощи;Ведение медицинской документации;Подготовка пациента к лечению;Назначение и контроль лечения;Назначение и проведение лечения, выполнение медицинских манипуляций;",Пунктуальность;Самостоятельность и ответственность;Стрессоустойчивость;Умение работать в команде;,"г. Алматы, Ауэзовский район","мкр. 4, д. 3а",,,
https://enbek.kz/ru/vacancy/inzhener-na-obekte-2-kategorii-inzhener-na-proizvodstve~4029737,Вакансия опубликована 21.06.2024,Инженер на производстве,от 600 000 тенге,Производство,"Прочая деятельность по обеспечению трудовыми ресурсами (персоналом), кроме деятельности организаций, учрежденных национальными компаниями","Товарищество с ограниченной ответственностью ""Болашак-Атырау""",Количество работников: 270,постоянная,полный рабочий день,нормальные,Не предполагается,1 год,высшее,1,,"Контроль распределение производственных заданий;Контроль технологии производства;Разработка документации и чертежей;Контроль качества, мониторинг состояния и работы инженерных систем, оборудования;Администрирование техпроцессов производства;Анализ качества сырья и готовой продукции;Организационно-технические мероприятия и ведение записей;",Адаптивность;Самостоятельность и ответственность;Стрессоустойчивость;Выносливость и усердие;,г. Алматы,,,,
https://enbek.kz/ru/vacancy/lifter-lifter~4029677,Вакансия опубликована 21.06.2024,Лифтер,от 150 000 до 150 000 тенге,ЖКХ и благоустройство,Прочие виды печатного производства,"Товарищество с ограниченной ответственностью ""Республиканский полиграфический издательский комплекс ""Дәуір""",Количество работников: 300,постоянная,полный рабочий день,нормальные,Не предполагается,Опыт не требуется,   общее среднее (с 1 по 11/12 классы),1,"Лифтер в пройзводство, работа не сложная не предпологает физ нагрузки, подойдет пенсионерам и.т.д.",Контроль за соблюдением санитарных норм;,Ответственность;,г. Алматы,"пр.Гагарина 93а уг ул,Абая",,,
https://enbek.kz/ru/vacancy/vedushchii-inzhener-operativno-raschetnoi-gruppy-sluzhby-releinoi-zashchity-i-elektroavtomatiki-filiala-ao-%C2%ABkegoc%C2%BB-%C2%ABalmatinskie-mezhsistemnye-elektricheskie-seti%C2%BB-inzhener-elektroenergetik~4029687,Вакансия опубликована 21.06.2024,Инженер-электроэнергетик,от 85 000 тенге,"Снабжение электроэнергией, газом, паром, горячей водой и  кондиционированным воздухом","Снабжение электроэнергией, газом, паром, горячей водой и  кондиционированным воздухом","Акционерное общество ""Казахстанская компания по управлению электрическими сетями"" (Кazakhstan Electricity Grid Operating Company) ""KEGOC""","Национальная электрическая сеть обеспечивает передачу электрической энергии от энергопроизводителей, имеющих схему выдачи электроэнергии непосредственно в Национальную электрическую сеть до оптовых потребителей, подключенных к этой сети (распределительные электросетевые компании, крупные потребители).",постоянная,полный рабочий день,нормальные,,5 лет,,1,""">ВАКАНСИЯ (временная на период декретного отпуска основного работника)",,,г. Алматы,,Казахский / продвинутый уровеньРусский / продвинутый уровень,,
https://enbek.kz/ru/vacancy/inzhener-2-kategorii-gruppy-ekspluatacii-ustroistv-rzie-sluzhby-releinoi-zashchity-i-elektroavtomatiki-filiala-ao-%C2%ABkegoc%C2%BB-%C2%ABalmatinskie-mezhsistemnye-elektricheskie-seti%C2%BB-inzhener-elektroenergetik~4029745,Вакансия опубликована 21.06.2024,Инженер-электроэнергетик,от 85 000 тенге,"Снабжение электроэнергией, газом, паром, горячей водой и  кондиционированным воздухом","Снабжение электроэнергией, газом, паром, горячей водой и  кондиционированным воздухом","Акционерное общество ""Казахстанская компания по управлению электрическими сетями"" (Кazakhstan Electricity Grid Operating Company) ""KEGOC""","Национальная электрическая сеть обеспечивает передачу электрической энергии от энергопроизводителей, имеющих схему выдачи электроэнергии непосредственно в Национальную электрическую сеть до оптовых потребителей, подключенных к этой сети (распределительные электросетевые компании, крупные потребители).",постоянная,полный рабочий день,нормальные,,3 года,,1,""">ВАКАНСИЯ",,,г. Алматы,,Казахский / продвинутый уровеньРусский / высокий уровень,,
https://enbek.kz/ru/vacancy/elektromonter-po-remontu-i-obsluzhivaniya-elektroslesar-po-obsluzhivaniyu-i-remontu-elektrotekhnicheskogo-oborudovaniya~4029469,Вакансия опубликована 21.06.2024,Электрослесарь по обслуживанию и ремонту электротехнического оборудования,от 220 000 тенге,Производство,Производство машин и оборудования  для металлургии,"Акционерное общество ""Алматинский завод тяжелого машиностроения""","Основано 17 ноября 1941 года. Отказ от применения к промышленным предприятиям РК. В состав входят все переделы машиностроительного предприятия: от разработки технической документации, стального и чугунного литья (включая изготовление моделей), кузнечного, термического, сварочно-заготовительного участков; БОЦ (блоки основных цехов), где закреплены участки механообработки ( токарные, фрезерные, расточные, зуборезательные, карусельные и т.п.), и механосборки.",постоянная,полный рабочий день,нормальные,Не предполагается,1 год,  послесреднее,2,,Монтаж и ремонт электроустановок и электрооборудования;Выполнение электромонтажных работ;,Ответственность;Сотрудничество и взаимодействие;,"г. Алматы, Алмалинский район",,,,
https://enbek.kz/ru/vacancy/voditel-tralla-voditel-tyagacha~4029476,Вакансия опубликована 21.06.2024,Водитель тягача,от 500 000 до 900 000 тенге,Транспорт и логистика,Транспорт и складирование,azattrans,Количество работников: 3,постоянная,полный рабочий день,нормальные,Не предполагается,5 лет,   общее среднее (с 1 по 11/12 классы),1,,Контроль и проверка технического состояния автотранспортных средств;Перевозка грузов;,Ответственность;,"г. Алматы, Ауэзовский район",,,,
https://enbek.kz/ru/vacancy/voditel-voditel-gruzovogo-avtomobilya~4029479,Вакансия опубликована 21.06.2024,Водитель грузового автомобиля,от 150 000 до 250 000 тенге,Транспорт и логистика,Транспорт и складирование,azattrans,Количество работников: 3,постоянная,полный рабочий день,нормальные,Не предполагается,2 года, техническое и профессиональное,2,ответственность,Ремонт неисправностей в работе транспортных средств;,Ответственность;,"г. Алматы, Ауэзовский район",,,,
https://enbek.kz/ru/vacancy/slesar-po-ekspluatacii-i-remontu-gazovogo-oborudovaniya-slesar-po-ekspluatacii-i-remontu-gazovogo-oborudovaniya~4029482,Вакансия опубликована 21.06.2024,Слесарь по эксплуатации и ремонту газового оборудования,от 220 000 тенге,Производство,Производство машин и оборудования  для металлургии,"Акционерное общество ""Алматинский завод тяжелого машиностроения""","Основано 17 ноября 1941 года. Отказ от применения к промышленным предприятиям РК. В состав входят все переделы машиностроительного предприятия: от разработки технической документации, стального и чугунного литья (включая изготовление моделей), кузнечного, термического, сварочно-заготовительного участков; БОЦ (блоки основных цехов), где закреплены участки механообработки ( токарные, фрезерные, расточные, зуборезательные, карусельные и т.п.), и механосборки.",постоянная,полный рабочий день,нормальные,Не предполагается,1 год, техническое и профессиональное,1,,Выполнение слесарных работ;,Ответственность;,"г. Алматы, Алмалинский район",,,,
https://enbek.kz/ru/vacancy/bukhgalter~4029484,Вакансия опубликована 21.06.2024,Бухгалтер,от 150 000 до 250 000 тенге,Финансы и бухучет,Предоставление прочих видов услуг,"ИП ""ASYL LIKE""",Количество работников: 10,постоянная,полный рабочий день,нормальные,Не предполагается,1 год,высшее,1,,Ведение установленных форм учета;Обя;Финансовое планирование;,Ответственность;Понимание бизнеса;Пунктуальность;,"г. Алматы, Алмалинский район",,,,
https://enbek.kz/ru/vacancy/slesar-kipia-slesar-remontnik~4029498,Вакансия опубликована 21.06.2024,Слесарь-ремонтник,от 220 000 тенге,Производство,Производство машин и оборудования  для металлургии,"Акционерное общество ""Алматинский завод тяжелого машиностроения""","Основано 17 ноября 1941 года. Отказ от применения к промышленным предприятиям РК. В состав входят все переделы машиностроительного предприятия: от разработки технической документации, стального и чугунного литья (включая изготовление моделей), кузнечного, термического, сварочно-заготовительного участков; БОЦ (блоки основных цехов), где закреплены участки механообработки ( токарные, фрезерные, расточные, зуборезательные, карусельные и т.п.), и механосборки.",постоянная,полный рабочий день,нормальные,Не предполагается,1 год,  послесреднее,1,,Выполнение слесарных работ;Выполнение электро-слесарных работ;,Самостоятельность и ответственность;,"г. Алматы, Алмалинский район",,,,
https://enbek.kz/ru/vacancy/tokar-karuselshchik-tokar~4029513,Вакансия опубликована 21.06.2024,Токарь,от 200 000 тенге,Производство,Производство машин и оборудования  для металлургии,"Акционерное общество ""Алматинский завод тяжелого машиностроения""","Основано 17 ноября 1941 года. Отказ от применения к промышленным предприятиям РК. В состав входят все переделы машиностроительного предприятия: от разработки технической документации, стального и чугунного литья (включая изготовление моделей), кузнечного, термического, сварочно-заготовительного участков; БОЦ (блоки основных цехов), где закреплены участки механообработки ( токарные, фрезерные, расточные, зуборезательные, карусельные и т.п.), и механосборки.",постоянная,полный рабочий день,нормальные,Не предполагается,1 год,  послесреднее,1,,"Нарезка зубьев различного профиля и шага на сложных деталях на зуборезных станках различных типов и моделей;Обработка на токарных, фрезерных, сверлильных, шлифовальных и др. станках;",Самостоятельность и ответственность;,"г. Алматы, Алмалинский район",Толе би 189,,,
https://enbek.kz/ru/vacancy/rabotnik-po-obsluzhivaniyu-zdaniya-rabochii-po-obsluzhivaniyu-i-remontu-gidrotekhnicheskikh-sooruzhenii~4029561,Вакансия опубликована 21.06.2024,Рабочий по обслуживанию и ремонту гидротехнических сооружений,от 85 000 до 150 000 тенге,Профессии без квалификации,Ппредоставление прочих социальных услуг  с обеспечением проживания,"Коммунальное государственное учреждение ""Центр адаптации и поддержки выпускников социальных учреждений ""Жастар үйі"" Управления образования города Алматы",Количество работников: 43,постоянная,полный рабочий день,нормальные,Не предполагается,Опыт не требуется,  послесреднее,1,"Рабочее время с 09:00 до 20:30 . 1,5 ставка",Контроль качества работ;,Ответственность;,"г. Алматы, Ауэзовский район","мкр.Жетысу-2, д.79",Казахский / продвинутый уровеньРусский / продвинутый уровень,,
